ExclusionID,Nom,Categorie,Description,PackImpacte
EX00440,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 40 des CG.,Eco+
EX00441,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 38 des CG.,Silver
EX00442,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 38 des CG.,Premium
EX00443,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 17 des CG.,Eco+
EX00444,Conduite par une personne non déclarée au contrat,Conduite,Conduite par une personne non déclarée au contrat. Voir article 7 des CG.,Eco+
EX00445,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 37 des CG.,Eco
EX00446,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 19 des CG.,VIP
EX00447,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 28 des CG.,Premium
EX00448,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 35 des CG.,Business
EX00449,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 3 des CG.,Silver
EX00450,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 4 des CG.,Premium
EX00451,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 27 des CG.,Premium
EX00452,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 3 des CG.,Silver
EX00453,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 4 des CG.,Gold
EX00454,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 40 des CG.,VIP
EX00455,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 6 des CG.,Bronze
EX00456,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 6 des CG.,Silver+
EX00457,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 14 des CG.,Premium
EX00458,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 35 des CG.,Silver
EX00459,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 8 des CG.,Silver+
EX00460,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 8 des CG.,Tous
EX00461,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 22 des CG.,Tous
EX00462,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 44 des CG.,Gold+
EX00463,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 28 des CG.,Eco+
EX00464,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 15 des CG.,Premium
EX00465,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 34 des CG.,Business
EX00466,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 42 des CG.,Eco+
EX00467,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 41 des CG.,Bronze
EX00468,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 18 des CG.,Business
EX00469,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 42 des CG.,Silver+
EX00470,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 5 des CG.,Tous
EX00471,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 41 des CG.,Eco
EX00472,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 26 des CG.,VIP
EX00473,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 34 des CG.,Gold
EX00474,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 4 des CG.,Eco+
EX00475,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 41 des CG.,Business
EX00476,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 12 des CG.,Silver+
EX00477,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 2 des CG.,Gold+
EX00478,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 23 des CG.,Premium
EX00479,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 25 des CG.,Silver
EX00480,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 3 des CG.,Gold
EX00481,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 25 des CG.,Silver
EX00482,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 30 des CG.,Tous
EX00483,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 43 des CG.,Silver+
EX00484,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 25 des CG.,Gold+
EX00485,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 31 des CG.,Bronze
EX00486,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 33 des CG.,Business
EX00487,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 22 des CG.,Tous
EX00488,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 12 des CG.,Business
EX00489,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 26 des CG.,Gold+
EX00490,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 2 des CG.,Premium
EX00491,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 15 des CG.,Silver
EX00492,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 32 des CG.,Premium
EX00493,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 26 des CG.,Premium
EX00494,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 17 des CG.,Gold
EX00495,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 19 des CG.,Premium
EX00496,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 28 des CG.,Gold
EX00497,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 28 des CG.,Eco
EX00498,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 3 des CG.,Silver
EX00499,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,Tous
EX00500,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 6 des CG.,VIP
EX00501,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 42 des CG.,Business
EX00502,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 17 des CG.,Eco+
EX00503,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 31 des CG.,Gold
EX00504,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 18 des CG.,Gold
EX00505,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 2 des CG.,Gold
EX00506,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 11 des CG.,Eco+
EX00507,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 34 des CG.,Eco
EX00508,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 26 des CG.,Bronze
EX00509,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,VIP
EX00510,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 23 des CG.,Gold+
EX00511,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 40 des CG.,Bronze
EX00512,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 1 des CG.,Eco
EX00513,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 4 des CG.,Silver
EX00514,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 33 des CG.,Gold
EX00515,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 20 des CG.,Gold
EX00516,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 3 des CG.,Business
EX00517,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 30 des CG.,Silver+
EX00518,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 2 des CG.,Bronze
EX00519,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,Eco+
EX00520,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 29 des CG.,Silver
EX00521,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 37 des CG.,VIP
EX00522,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 32 des CG.,Gold
EX00523,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 4 des CG.,Eco
EX00524,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 2 des CG.,Bronze
EX00525,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 13 des CG.,Silver
EX00526,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 25 des CG.,Gold
EX00527,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 5 des CG.,Eco+
EX00528,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 45 des CG.,Bronze
EX00529,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 4 des CG.,Eco+
EX00530,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 12 des CG.,Gold+
EX00531,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 1 des CG.,Eco
EX00532,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 9 des CG.,Premium
EX00533,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 45 des CG.,Gold
EX00534,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 35 des CG.,VIP
EX00535,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 32 des CG.,Eco+
EX00536,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 24 des CG.,Business
EX00537,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 14 des CG.,Eco
EX00538,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 28 des CG.,Silver+
EX00539,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 1 des CG.,Business
EX00540,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 30 des CG.,Eco
EX00541,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 27 des CG.,Gold
EX00542,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 32 des CG.,Premium
EX00543,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 13 des CG.,Silver
EX00544,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 3 des CG.,Gold
EX00545,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 1 des CG.,Eco+
EX00546,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 38 des CG.,Bronze
EX00547,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 10 des CG.,VIP
EX00548,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 36 des CG.,Bronze
EX00549,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 9 des CG.,Business
EX00550,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 32 des CG.,Gold
EX00551,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 17 des CG.,Eco
EX00552,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 8 des CG.,Silver
EX00553,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 43 des CG.,Bronze
EX00554,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 34 des CG.,Silver+
EX00555,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 7 des CG.,Eco+
EX00556,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 45 des CG.,Gold+
EX00557,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 24 des CG.,Eco
EX00558,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 34 des CG.,Gold
EX00559,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 19 des CG.,VIP
EX00560,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 9 des CG.,Gold+
EX00561,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 30 des CG.,Business
EX00562,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 40 des CG.,Eco
EX00563,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 17 des CG.,Bronze
EX00564,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 13 des CG.,Eco+
EX00565,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 21 des CG.,Bronze
EX00566,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 29 des CG.,Eco+
EX00567,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 2 des CG.,Silver
EX00568,Modification non déclarée du véhicule,Usage,Modification non déclarée du véhicule. Voir article 1 des CG.,Gold
EX00569,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 17 des CG.,Silver
EX00570,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 14 des CG.,VIP
EX00571,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 31 des CG.,Business
EX00572,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 29 des CG.,Gold
EX00573,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 45 des CG.,Silver
EX00574,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 27 des CG.,Business
EX00575,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 15 des CG.,Gold
EX00576,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 30 des CG.,Silver
EX00577,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 20 des CG.,Gold+
EX00578,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 43 des CG.,Silver+
EX00579,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 20 des CG.,Bronze
EX00580,Conduite sous l'emprise de l'alcool ou de stupéfiants,Conduite,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 29 des CG.,Gold+
EX00581,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 40 des CG.,Tous
EX00582,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 17 des CG.,VIP
EX00583,Usure normale et défaut d'entretien,Conduite,Usure normale et défaut d'entretien. Voir article 27 des CG.,Silver+
EX00584,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 27 des CG.,Tous
EX00585,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 38 des CG.,Gold+
EX00586,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 45 des CG.,Bronze
EX00587,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 7 des CG.,Gold
EX00588,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 2 des CG.,Premium
EX00589,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 43 des CG.,Gold
EX00590,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 45 des CG.,VIP
EX00591,Usage du véhicule en compétition ou sur circuit,Conduite,Usage du véhicule en compétition ou sur circuit. Voir article 30 des CG.,Gold
EX00592,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 5 des CG.,Silver
EX00593,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 24 des CG.,Silver+
EX00594,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 37 des CG.,Premium
EX00595,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 12 des CG.,Gold+
EX00596,Dommages intentionnels causés par l'assuré,Territorial,Dommages intentionnels causés par l'assuré. Voir article 40 des CG.,Eco
EX00597,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 37 des CG.,Gold
EX00598,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 39 des CG.,Gold
EX00599,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 3 des CG.,Eco
EX00600,Conduite sous l'emprise de l'alcool ou de stupéfiants,Territorial,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 11 des CG.,Eco
EX00601,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 23 des CG.,VIP
EX00602,Dommages survenus hors territoire marocain non couvert,Conduite,Dommages survenus hors territoire marocain non couvert. Voir article 28 des CG.,Gold+
EX00603,Usure normale et défaut d'entretien,Usage,Usure normale et défaut d'entretien. Voir article 33 des CG.,Eco
EX00604,Conduite par une personne non déclarée au contrat,Administratif,Conduite par une personne non déclarée au contrat. Voir article 41 des CG.,Gold
EX00605,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 24 des CG.,Premium
EX00606,Dommages intentionnels causés par l'assuré,Usage,Dommages intentionnels causés par l'assuré. Voir article 43 des CG.,Silver
EX00607,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 43 des CG.,Tous
EX00608,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 40 des CG.,Business
EX00609,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 26 des CG.,VIP
EX00610,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 42 des CG.,Gold+
EX00611,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 7 des CG.,VIP
EX00612,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 36 des CG.,VIP
EX00613,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 38 des CG.,Eco+
EX00614,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 11 des CG.,Tous
EX00615,Transport de matières dangereuses non autorisé,Usage,Transport de matières dangereuses non autorisé. Voir article 3 des CG.,VIP
EX00616,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 5 des CG.,Gold+
EX00617,Sinistre survenu pendant une période de suspension,Administratif,Sinistre survenu pendant une période de suspension. Voir article 26 des CG.,Gold
EX00618,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 11 des CG.,Silver
EX00619,Dépassement de la limite kilométrique contractuelle,Administratif,Dépassement de la limite kilométrique contractuelle. Voir article 38 des CG.,Gold+
EX00620,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 29 des CG.,Gold
EX00621,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 6 des CG.,Business
EX00622,Dommages survenus hors territoire marocain non couvert,Usage,Dommages survenus hors territoire marocain non couvert. Voir article 7 des CG.,Eco+
EX00623,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 10 des CG.,Gold+
EX00624,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 39 des CG.,Bronze
EX00625,Transport de matières dangereuses non autorisé,Territorial,Transport de matières dangereuses non autorisé. Voir article 29 des CG.,Silver
EX00626,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 15 des CG.,Gold
EX00627,Sinistre survenu pendant une période de suspension,Conduite,Sinistre survenu pendant une période de suspension. Voir article 36 des CG.,Premium
EX00628,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 31 des CG.,Eco
EX00629,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 29 des CG.,Premium
EX00630,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 43 des CG.,VIP
EX00631,Usage du véhicule en compétition ou sur circuit,Usage,Usage du véhicule en compétition ou sur circuit. Voir article 25 des CG.,VIP
EX00632,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 39 des CG.,Silver
EX00633,Usure normale et défaut d'entretien,Territorial,Usure normale et défaut d'entretien. Voir article 5 des CG.,Eco
EX00634,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 16 des CG.,Premium
EX00635,Transport de matières dangereuses non autorisé,Administratif,Transport de matières dangereuses non autorisé. Voir article 24 des CG.,Business
EX00636,Dommages intentionnels causés par l'assuré,Conduite,Dommages intentionnels causés par l'assuré. Voir article 27 des CG.,Premium
EX00637,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 32 des CG.,Bronze
EX00638,Modification non déclarée du véhicule,Conduite,Modification non déclarée du véhicule. Voir article 13 des CG.,Gold+
EX00639,Dépassement de la limite kilométrique contractuelle,Conduite,Dépassement de la limite kilométrique contractuelle. Voir article 24 des CG.,Eco
EX00640,Conduite sous l'emprise de l'alcool ou de stupéfiants,Administratif,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 19 des CG.,Gold
EX00641,Usage du véhicule en compétition ou sur circuit,Administratif,Usage du véhicule en compétition ou sur circuit. Voir article 43 des CG.,Eco
EX00642,Dommages survenus hors territoire marocain non couvert,Territorial,Dommages survenus hors territoire marocain non couvert. Voir article 8 des CG.,Gold+
EX00643,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 20 des CG.,Eco
EX00644,Conduite par une personne non déclarée au contrat,Territorial,Conduite par une personne non déclarée au contrat. Voir article 16 des CG.,VIP
EX00645,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 40 des CG.,Eco+
EX00646,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 37 des CG.,Eco+
EX00647,Sinistre survenu pendant une période de suspension,Territorial,Sinistre survenu pendant une période de suspension. Voir article 29 des CG.,Business
EX00648,Modification non déclarée du véhicule,Territorial,Modification non déclarée du véhicule. Voir article 20 des CG.,VIP
EX00649,Dépassement de la limite kilométrique contractuelle,Usage,Dépassement de la limite kilométrique contractuelle. Voir article 25 des CG.,Eco
EX00650,Conduite sous l'emprise de l'alcool ou de stupéfiants,Usage,Conduite sous l'emprise de l'alcool ou de stupéfiants. Voir article 43 des CG.,Bronze
EX00651,Usage du véhicule en compétition ou sur circuit,Territorial,Usage du véhicule en compétition ou sur circuit. Voir article 2 des CG.,Bronze
EX00652,Dommages survenus hors territoire marocain non couvert,Administratif,Dommages survenus hors territoire marocain non couvert. Voir article 11 des CG.,Eco
EX00653,Usure normale et défaut d'entretien,Administratif,Usure normale et défaut d'entretien. Voir article 34 des CG.,Premium
EX00654,Conduite par une personne non déclarée au contrat,Usage,Conduite par une personne non déclarée au contrat. Voir article 13 des CG.,Bronze
EX00655,Transport de matières dangereuses non autorisé,Conduite,Transport de matières dangereuses non autorisé. Voir article 3 des CG.,Premium
EX00656,Dommages intentionnels causés par l'assuré,Administratif,Dommages intentionnels causés par l'assuré. Voir article 11 des CG.,Premium
EX00657,Sinistre survenu pendant une période de suspension,Usage,Sinistre survenu pendant une période de suspension. Voir article 39 des CG.,Tous
EX00658,Modification non déclarée du véhicule,Administratif,Modification non déclarée du véhicule. Voir article 19 des CG.,Silver
EX00659,Dépassement de la limite kilométrique contractuelle,Territorial,Dépassement de la limite kilométrique contractuelle. Voir article 15 des CG.,Eco
