FAQID,Question,Categorie,Reponse,Tags,Priorite
FAQ00512,Comment fonctionne le bonus-malus ? (variante 512),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00512.","Bonus Malus,assurance auto,Maroc",5
FAQ00513,Puis-je assurer une voiture neuve ? (variante 513),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00513.","Souscription,assurance auto,Maroc",4
FAQ00514,Quelle franchise choisir ? (variante 514),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00514.,"Franchise,assurance auto,Maroc",3
FAQ00515,Comment résilier mon contrat ? (variante 515),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00515.,"Résiliation,assurance auto,Maroc",4
FAQ00516,Le vol est-il couvert ? (variante 516),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00516.","Garanties,assurance auto,Maroc",2
FAQ00517,Quels documents pour souscrire ? (variante 517),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00517.","Souscription,assurance auto,Maroc",4
FAQ00518,Puis-je payer mensuellement ? (variante 518),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00518.","Paiement,assurance auto,Maroc",3
FAQ00519,Comment contester un refus d'indemnisation ? (variante 519),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00519.,"Réclamations,assurance auto,Maroc",1
FAQ00520,Comment déclarer un sinistre ? (variante 520),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00520.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00521,Quel est le délai de déclaration d'un sinistre ? (variante 521),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00521.","Délais,assurance auto,Maroc",2
FAQ00522,Comment fonctionne le bonus-malus ? (variante 522),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00522.","Bonus Malus,assurance auto,Maroc",2
FAQ00523,Puis-je assurer une voiture neuve ? (variante 523),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00523.","Souscription,assurance auto,Maroc",4
FAQ00524,Quelle franchise choisir ? (variante 524),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00524.,"Franchise,assurance auto,Maroc",3
FAQ00525,Comment résilier mon contrat ? (variante 525),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00525.,"Résiliation,assurance auto,Maroc",4
FAQ00526,Le vol est-il couvert ? (variante 526),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00526.","Garanties,assurance auto,Maroc",2
FAQ00527,Quels documents pour souscrire ? (variante 527),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00527.","Souscription,assurance auto,Maroc",2
FAQ00528,Puis-je payer mensuellement ? (variante 528),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00528.","Paiement,assurance auto,Maroc",4
FAQ00529,Comment contester un refus d'indemnisation ? (variante 529),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00529.,"Réclamations,assurance auto,Maroc",3
FAQ00530,Comment déclarer un sinistre ? (variante 530),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00530.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00531,Quel est le délai de déclaration d'un sinistre ? (variante 531),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00531.","Délais,assurance auto,Maroc",2
FAQ00532,Comment fonctionne le bonus-malus ? (variante 532),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00532.","Bonus Malus,assurance auto,Maroc",4
FAQ00533,Puis-je assurer une voiture neuve ? (variante 533),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00533.","Souscription,assurance auto,Maroc",1
FAQ00534,Quelle franchise choisir ? (variante 534),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00534.,"Franchise,assurance auto,Maroc",2
FAQ00535,Comment résilier mon contrat ? (variante 535),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00535.,"Résiliation,assurance auto,Maroc",2
FAQ00536,Le vol est-il couvert ? (variante 536),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00536.","Garanties,assurance auto,Maroc",5
FAQ00537,Quels documents pour souscrire ? (variante 537),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00537.","Souscription,assurance auto,Maroc",4
FAQ00538,Puis-je payer mensuellement ? (variante 538),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00538.","Paiement,assurance auto,Maroc",4
FAQ00539,Comment contester un refus d'indemnisation ? (variante 539),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00539.,"Réclamations,assurance auto,Maroc",4
FAQ00540,Comment déclarer un sinistre ? (variante 540),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00540.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00541,Quel est le délai de déclaration d'un sinistre ? (variante 541),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00541.","Délais,assurance auto,Maroc",5
FAQ00542,Comment fonctionne le bonus-malus ? (variante 542),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00542.","Bonus Malus,assurance auto,Maroc",5
FAQ00543,Puis-je assurer une voiture neuve ? (variante 543),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00543.","Souscription,assurance auto,Maroc",5
FAQ00544,Quelle franchise choisir ? (variante 544),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00544.,"Franchise,assurance auto,Maroc",2
FAQ00545,Comment résilier mon contrat ? (variante 545),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00545.,"Résiliation,assurance auto,Maroc",4
FAQ00546,Le vol est-il couvert ? (variante 546),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00546.","Garanties,assurance auto,Maroc",1
FAQ00547,Quels documents pour souscrire ? (variante 547),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00547.","Souscription,assurance auto,Maroc",2
FAQ00548,Puis-je payer mensuellement ? (variante 548),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00548.","Paiement,assurance auto,Maroc",1
FAQ00549,Comment contester un refus d'indemnisation ? (variante 549),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00549.,"Réclamations,assurance auto,Maroc",3
FAQ00550,Comment déclarer un sinistre ? (variante 550),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00550.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00551,Quel est le délai de déclaration d'un sinistre ? (variante 551),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00551.","Délais,assurance auto,Maroc",3
FAQ00552,Comment fonctionne le bonus-malus ? (variante 552),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00552.","Bonus Malus,assurance auto,Maroc",4
FAQ00553,Puis-je assurer une voiture neuve ? (variante 553),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00553.","Souscription,assurance auto,Maroc",2
FAQ00554,Quelle franchise choisir ? (variante 554),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00554.,"Franchise,assurance auto,Maroc",3
FAQ00555,Comment résilier mon contrat ? (variante 555),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00555.,"Résiliation,assurance auto,Maroc",3
FAQ00556,Le vol est-il couvert ? (variante 556),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00556.","Garanties,assurance auto,Maroc",1
FAQ00557,Quels documents pour souscrire ? (variante 557),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00557.","Souscription,assurance auto,Maroc",1
FAQ00558,Puis-je payer mensuellement ? (variante 558),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00558.","Paiement,assurance auto,Maroc",3
FAQ00559,Comment contester un refus d'indemnisation ? (variante 559),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00559.,"Réclamations,assurance auto,Maroc",5
FAQ00560,Comment déclarer un sinistre ? (variante 560),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00560.,"Déclaration sinistre,assurance auto,Maroc",1
FAQ00561,Quel est le délai de déclaration d'un sinistre ? (variante 561),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00561.","Délais,assurance auto,Maroc",5
FAQ00562,Comment fonctionne le bonus-malus ? (variante 562),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00562.","Bonus Malus,assurance auto,Maroc",2
FAQ00563,Puis-je assurer une voiture neuve ? (variante 563),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00563.","Souscription,assurance auto,Maroc",1
FAQ00564,Quelle franchise choisir ? (variante 564),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00564.,"Franchise,assurance auto,Maroc",5
FAQ00565,Comment résilier mon contrat ? (variante 565),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00565.,"Résiliation,assurance auto,Maroc",1
FAQ00566,Le vol est-il couvert ? (variante 566),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00566.","Garanties,assurance auto,Maroc",2
FAQ00567,Quels documents pour souscrire ? (variante 567),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00567.","Souscription,assurance auto,Maroc",4
FAQ00568,Puis-je payer mensuellement ? (variante 568),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00568.","Paiement,assurance auto,Maroc",1
FAQ00569,Comment contester un refus d'indemnisation ? (variante 569),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00569.,"Réclamations,assurance auto,Maroc",3
FAQ00570,Comment déclarer un sinistre ? (variante 570),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00570.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00571,Quel est le délai de déclaration d'un sinistre ? (variante 571),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00571.","Délais,assurance auto,Maroc",2
FAQ00572,Comment fonctionne le bonus-malus ? (variante 572),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00572.","Bonus Malus,assurance auto,Maroc",5
FAQ00573,Puis-je assurer une voiture neuve ? (variante 573),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00573.","Souscription,assurance auto,Maroc",1
FAQ00574,Quelle franchise choisir ? (variante 574),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00574.,"Franchise,assurance auto,Maroc",1
FAQ00575,Comment résilier mon contrat ? (variante 575),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00575.,"Résiliation,assurance auto,Maroc",3
FAQ00576,Le vol est-il couvert ? (variante 576),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00576.","Garanties,assurance auto,Maroc",3
FAQ00577,Quels documents pour souscrire ? (variante 577),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00577.","Souscription,assurance auto,Maroc",2
FAQ00578,Puis-je payer mensuellement ? (variante 578),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00578.","Paiement,assurance auto,Maroc",4
FAQ00579,Comment contester un refus d'indemnisation ? (variante 579),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00579.,"Réclamations,assurance auto,Maroc",2
FAQ00580,Comment déclarer un sinistre ? (variante 580),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00580.,"Déclaration sinistre,assurance auto,Maroc",2
FAQ00581,Quel est le délai de déclaration d'un sinistre ? (variante 581),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00581.","Délais,assurance auto,Maroc",5
FAQ00582,Comment fonctionne le bonus-malus ? (variante 582),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00582.","Bonus Malus,assurance auto,Maroc",4
FAQ00583,Puis-je assurer une voiture neuve ? (variante 583),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00583.","Souscription,assurance auto,Maroc",4
FAQ00584,Quelle franchise choisir ? (variante 584),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00584.,"Franchise,assurance auto,Maroc",1
FAQ00585,Comment résilier mon contrat ? (variante 585),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00585.,"Résiliation,assurance auto,Maroc",1
FAQ00586,Le vol est-il couvert ? (variante 586),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00586.","Garanties,assurance auto,Maroc",5
FAQ00587,Quels documents pour souscrire ? (variante 587),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00587.","Souscription,assurance auto,Maroc",3
FAQ00588,Puis-je payer mensuellement ? (variante 588),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00588.","Paiement,assurance auto,Maroc",5
FAQ00589,Comment contester un refus d'indemnisation ? (variante 589),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00589.,"Réclamations,assurance auto,Maroc",2
FAQ00590,Comment déclarer un sinistre ? (variante 590),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00590.,"Déclaration sinistre,assurance auto,Maroc",4
FAQ00591,Quel est le délai de déclaration d'un sinistre ? (variante 591),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00591.","Délais,assurance auto,Maroc",5
FAQ00592,Comment fonctionne le bonus-malus ? (variante 592),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00592.","Bonus Malus,assurance auto,Maroc",3
FAQ00593,Puis-je assurer une voiture neuve ? (variante 593),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00593.","Souscription,assurance auto,Maroc",4
FAQ00594,Quelle franchise choisir ? (variante 594),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00594.,"Franchise,assurance auto,Maroc",4
FAQ00595,Comment résilier mon contrat ? (variante 595),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00595.,"Résiliation,assurance auto,Maroc",4
FAQ00596,Le vol est-il couvert ? (variante 596),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00596.","Garanties,assurance auto,Maroc",1
FAQ00597,Quels documents pour souscrire ? (variante 597),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00597.","Souscription,assurance auto,Maroc",3
FAQ00598,Puis-je payer mensuellement ? (variante 598),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00598.","Paiement,assurance auto,Maroc",5
FAQ00599,Comment contester un refus d'indemnisation ? (variante 599),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00599.,"Réclamations,assurance auto,Maroc",5
FAQ00600,Comment déclarer un sinistre ? (variante 600),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00600.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00601,Quel est le délai de déclaration d'un sinistre ? (variante 601),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00601.","Délais,assurance auto,Maroc",4
FAQ00602,Comment fonctionne le bonus-malus ? (variante 602),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00602.","Bonus Malus,assurance auto,Maroc",2
FAQ00603,Puis-je assurer une voiture neuve ? (variante 603),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00603.","Souscription,assurance auto,Maroc",4
FAQ00604,Quelle franchise choisir ? (variante 604),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00604.,"Franchise,assurance auto,Maroc",1
FAQ00605,Comment résilier mon contrat ? (variante 605),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00605.,"Résiliation,assurance auto,Maroc",2
FAQ00606,Le vol est-il couvert ? (variante 606),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00606.","Garanties,assurance auto,Maroc",3
FAQ00607,Quels documents pour souscrire ? (variante 607),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00607.","Souscription,assurance auto,Maroc",1
FAQ00608,Puis-je payer mensuellement ? (variante 608),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00608.","Paiement,assurance auto,Maroc",5
FAQ00609,Comment contester un refus d'indemnisation ? (variante 609),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00609.,"Réclamations,assurance auto,Maroc",1
FAQ00610,Comment déclarer un sinistre ? (variante 610),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00610.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00611,Quel est le délai de déclaration d'un sinistre ? (variante 611),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00611.","Délais,assurance auto,Maroc",4
FAQ00612,Comment fonctionne le bonus-malus ? (variante 612),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00612.","Bonus Malus,assurance auto,Maroc",2
FAQ00613,Puis-je assurer une voiture neuve ? (variante 613),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00613.","Souscription,assurance auto,Maroc",3
FAQ00614,Quelle franchise choisir ? (variante 614),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00614.,"Franchise,assurance auto,Maroc",4
FAQ00615,Comment résilier mon contrat ? (variante 615),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00615.,"Résiliation,assurance auto,Maroc",2
FAQ00616,Le vol est-il couvert ? (variante 616),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00616.","Garanties,assurance auto,Maroc",5
FAQ00617,Quels documents pour souscrire ? (variante 617),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00617.","Souscription,assurance auto,Maroc",2
FAQ00618,Puis-je payer mensuellement ? (variante 618),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00618.","Paiement,assurance auto,Maroc",5
FAQ00619,Comment contester un refus d'indemnisation ? (variante 619),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00619.,"Réclamations,assurance auto,Maroc",4
FAQ00620,Comment déclarer un sinistre ? (variante 620),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00620.,"Déclaration sinistre,assurance auto,Maroc",5
FAQ00621,Quel est le délai de déclaration d'un sinistre ? (variante 621),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00621.","Délais,assurance auto,Maroc",4
FAQ00622,Comment fonctionne le bonus-malus ? (variante 622),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00622.","Bonus Malus,assurance auto,Maroc",3
FAQ00623,Puis-je assurer une voiture neuve ? (variante 623),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00623.","Souscription,assurance auto,Maroc",2
FAQ00624,Quelle franchise choisir ? (variante 624),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00624.,"Franchise,assurance auto,Maroc",5
FAQ00625,Comment résilier mon contrat ? (variante 625),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00625.,"Résiliation,assurance auto,Maroc",1
FAQ00626,Le vol est-il couvert ? (variante 626),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00626.","Garanties,assurance auto,Maroc",1
FAQ00627,Quels documents pour souscrire ? (variante 627),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00627.","Souscription,assurance auto,Maroc",2
FAQ00628,Puis-je payer mensuellement ? (variante 628),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00628.","Paiement,assurance auto,Maroc",5
FAQ00629,Comment contester un refus d'indemnisation ? (variante 629),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00629.,"Réclamations,assurance auto,Maroc",4
FAQ00630,Comment déclarer un sinistre ? (variante 630),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00630.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00631,Quel est le délai de déclaration d'un sinistre ? (variante 631),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00631.","Délais,assurance auto,Maroc",4
FAQ00632,Comment fonctionne le bonus-malus ? (variante 632),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00632.","Bonus Malus,assurance auto,Maroc",1
FAQ00633,Puis-je assurer une voiture neuve ? (variante 633),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00633.","Souscription,assurance auto,Maroc",2
FAQ00634,Quelle franchise choisir ? (variante 634),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00634.,"Franchise,assurance auto,Maroc",3
FAQ00635,Comment résilier mon contrat ? (variante 635),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00635.,"Résiliation,assurance auto,Maroc",4
FAQ00636,Le vol est-il couvert ? (variante 636),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00636.","Garanties,assurance auto,Maroc",2
FAQ00637,Quels documents pour souscrire ? (variante 637),Souscription,"Carte grise, permis de conduire, relevé d'information et carte d'identité nationale. Réf. FAQ-00637.","Souscription,assurance auto,Maroc",4
FAQ00638,Puis-je payer mensuellement ? (variante 638),Paiement,"Oui, le paiement mensuel est disponible avec une majoration de 3%. Réf. FAQ-00638.","Paiement,assurance auto,Maroc",3
FAQ00639,Comment contester un refus d'indemnisation ? (variante 639),Réclamations,Adressez un recours écrit au service réclamations sous 30 jours. Réf. FAQ-00639.,"Réclamations,assurance auto,Maroc",3
FAQ00640,Comment déclarer un sinistre ? (variante 640),Déclaration sinistre,Connectez-vous à votre espace client ou appelez le 0522-XX-XX-XX dans les 5 jours ouvrés. Réf. FAQ-00640.,"Déclaration sinistre,assurance auto,Maroc",3
FAQ00641,Quel est le délai de déclaration d'un sinistre ? (variante 641),Délais,"Vous disposez de 5 jours ouvrés pour déclarer un sinistre, 2 jours en cas de vol. Réf. FAQ-00641.","Délais,assurance auto,Maroc",1
FAQ00642,Comment fonctionne le bonus-malus ? (variante 642),Bonus Malus,"Chaque année sans sinistre responsable réduit votre coefficient de 5%, jusqu'à 0.50 minimum. Réf. FAQ-00642.","Bonus Malus,assurance auto,Maroc",5
FAQ00643,Puis-je assurer une voiture neuve ? (variante 643),Souscription,"Oui, nous proposons des formules véhicule neuf avec valeur à neuf garantie 12 mois. Réf. FAQ-00643.","Souscription,assurance auto,Maroc",1
FAQ00644,Quelle franchise choisir ? (variante 644),Franchise,Une franchise élevée réduit la prime annuelle mais augmente votre reste à charge en cas de sinistre. Réf. FAQ-00644.,"Franchise,assurance auto,Maroc",5
FAQ00645,Comment résilier mon contrat ? (variante 645),Résiliation,Envoyez une lettre recommandée 2 mois avant la date d'échéance ou profitez de la loi Hamon après 1 an. Réf. FAQ-00645.,"Résiliation,assurance auto,Maroc",4
FAQ00646,Le vol est-il couvert ? (variante 646),Garanties,"La garantie vol est incluse à partir du pack Silver, sous réserve d'antivol agréé. Réf. FAQ-00646.","Garanties,assurance auto,Maroc",5
